NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,49,0.357663,31.900908,28.026676,4.485465,15.266326,3.179629,2.97E-09
36,50,0.288812,31.816902,27.426704,4.264062,14.963517,3.104896,9.71E-10
36,51,0.276409,30.886184,28.020009,4.323165,15.137881,3.145243,2.20E-09
36,52,0.292449,31.350646,27.698944,4.402496001,15.503981,3.22168,7.07E-10
36,53,0.286909,31.505733,27.809746,4.269302,15.078637,3.165081,1.07E-09
36,54,0.263704,32.039432,27.739702,4.27842,15.147619,3.169329,9.65E-10
36,55,0.274966,31.553013,28.037642,4.247631,15.460442,3.083184,1.24E-09
36,56,0.283492,31.709612,27.725425,4.282217,14.981402,3.063236,6.75E-10
36,57,0.255138,31.757934,27.52354,4.254022,14.914573,3.126467,6.32E-10
36,58,0.288671999,32.237156,27.692632,4.250516,15.089127,3.148799,8.78E-10
36,59,0.325331,31.739489,28.60689,4.490445001,15.32102,3.14911,2.27E-09
36,60,0.277,32.58499,28.00559,4.843681,15.05904,3.109495,1.64E-09
36,61,0.282229,31.41585,27.700537,4.29413,15.028661,3.172895999,1.51E-09
36,62,0.288231,31.663775,27.680419,4.301413,15.049401,3.176062,7.53E-10
36,63,0.296726999,31.90755,27.652916,4.336460001,15.138512,3.157006,5.75E-10
36,64,0.304351999,31.183466,27.56029,4.231039,15.063679,3.121077,1.28E-09
36,65,0.28772,30.90831,27.58979,4.57636,15.025636,3.129903,2.06E-09
36,66,0.252543,31.699613,27.721061,4.27856,15.079138,3.114955,6.33E-10
36,67,0.26164,32.032229,27.365236,4.258542,14.910185,3.04409,1.94E-09
36,68,0.261429,31.671199,27.410683,4.290492,14.920695,3.129072,3.96E-09
36,69,0.257141,31.547422,27.807327,4.337783001,15.314618,3.214024,1.22E-09
36,70,0.350486,30.95525,27.716387,4.325249,15.098465,3.134122,5.62E-10
36,71,0.284353,31.708865,27.675811,4.224777,14.95482,3.095297,5.93E-10
36,72,0.28779,31.442251,27.457403,4.242441,14.976191,3.113471999,2.92E-09
36,73,0.296637,31.540128,27.507358,4.311302,14.910606,3.115115,1.33E-09
36,74,0.264716,31.252458,27.762786,4.343855,15.160153,3.131758001,9.57E-10
36,75,0.26712,31.807574,27.551743,4.26318,14.930013,3.098914,5.65E-10
36,76,0.254807001,30.917989,27.948201,4.303207,14.967294,3.098814,1.66E-09
36,77,0.280216001,31.12275,27.584146,4.303508,15.2162,3.165051,1.23E-09
36,78,0.247794,31.212246,27.86947,4.433375,15.056084,3.056693999,1.50E-09
36,79,0.253244,31.489882,27.652255,4.23195,15.186834,3.189878,6.68E-10
36,80,0.294583,31.34285,27.726036,4.382359,15.075561,3.37687,7.91E-10
36,81,0.284152999,31.343898,28.150252,4.510123,15.478021,3.172695,2.83E-09
36,82,0.252743,31.656035,28.215902,4.485636,15.497497,3.161234,7.16E-10
36,83,0.261059,31.482418,28.126953,4.358272,15.080271,3.142908,6.43E-10
36,84,0.285146,31.381555,27.865102,4.381266,15.303257,3.149371,9.01E-10
36,85,0.263584,31.207522,28.793021,4.820495,15.19483,3.161374,1.39E-09
36,86,0.330462,32.006189,27.760281,4.422315001,15.365816,3.164799999,1.53E-09
